Post Caption,Sentiment Polarity,Hashtags? (Y/N),Mentions? (Y/N),Hashtags List,Mentions List,Time of Day of Post,Day of Week,Date of Post,Video? (Y/N),Dimensions,Likes,Comments,Engagement Rate (%)
"Exciting Quick Quack News! 🎉

We hit a major milestone with the grand opening of our 200th store location and the fun is not over.

This achievement symbolizes the dedication and hard work of our ✨incredible✨ team and the loyalty of our valued customers. 

Grand Opening Festivities — AUBURN CALIFORNIA ONLY:

The fun begins at 10150 Woodridge Drive, Auburn, California.

🎉 Preview Fundraiser for the Meo Family on July 10, 2023, at 4:00 PM 

🎉 12 days of FREE car washes and a Ribbon Cutting on July 11, 2023, at 4:30 PM
 
Thank you for being a part of our journey. 🫧 🚗",0.17159090909090907,N,N,,,16:24:22,Monday,2023-07-10,Y,720x1280,107,7,11400.0
"POV: You’ve pulled up to your neighborhood Quick Quack, and you were greeted with a smile. 

Happy Friday!",0.5444444444444444,N,N,,,13:41:39,Friday,2023-01-06,N,1440x1440,128,3,13100.0
Have you entered our #QuickQuack #LipSyncBattle for a chance to win a YEAR of FREE WASHES!? Find out all the details and enter here: http://woobox.com/xboe52,0.65,Y,N,"QuickQuack, LipSyncBattle",,17:55:43,Wednesday,2016-05-18,N,604x756,5,0,500.0
"In honor of Independence Day, we are giving away a FREE MONTH of Unlimited Washes to one lucky winner! Share with us your favorite 4th of July memory in the comments below for a chance to win! We will announce the winner on July 3rd!",0.46333333333333326,N,N,,,09:00:29,Monday,2019-07-01,N,1080x1080,63,21,8400.0
"Have you ever been to a Quick Quack Grand Opening? We celebrate our new car wash locations with 12 Days of Free Car Washes and a big giveaway: five Lucky Ducks will win a year of free car washes. Keep an eye out for a Grand Opening in your neighborhood, mark your calendars, and get in line early. #dontdrivedirty",0.3503030303030303,Y,N,dontdrivedirty,,07:59:48,Friday,2021-08-20,Y,720x1280,56,0,5600.0
Tomorrow is the last day to nominate The Most Courteous Person you know. Nominate now! http://ow.ly/HjGg303ZovE,0.4166666666666667,N,N,,,20:04:36,Wednesday,2016-09-14,N,960x960,2,0,200.0
"Grab your exclusive offer now! ✨

We’re sharing before and after action shots of Ceramic Duck, so you can see the results of our new top wash. We may be biased but that car’s shine will turn heads.

Feel and look spectacular with a limited offer in our link in the bio. ✨🫧",0.252987012987013,N,N,,,12:10:12,Thursday,2023-06-08,Y,1080x1920,57,3,6000.0
"Happy National Bologna Day! Eat Bologna, not duck!

#DontDriveDirty",1.0,Y,N,DontDriveDirty,,13:38:14,Monday,2016-10-24,N,1000x1000,6,0,600.0
"Our team members are amazing, and they are especially kind.
Today is the last day to nominate someone to receive a random act of kindness from Quick Quack. Visit the link in our bio to learn more about how we can help and spread kindness to our community. #randomactsofkindness #randomquacksofkindness #QQCares #dontdrivedirty #quickquack",0.32222222222222224,Y,N,"randomactsofkindness, randomquacksofkindness, QQCares, dontdrivedirty, quickquack",,08:00:10,Sunday,2021-02-21,N,1080x1080,114,0,11400.0
Complete your wash and your look with your favorite Quick Quack scent. Ask our team members when checking in to get that new car smell with that new car shine!,0.24803030303030305,N,N,,,07:01:42,Wednesday,2022-04-13,N,1440x1800,106,7,11300.0
We have officially changed to SUMMER HOURS! That means that you can wash your car until 9pm!,0.0,N,N,,,17:31:03,Thursday,2017-03-16,N,960x960,15,0,1500.0
The best thing about fall is that Halloween is upon us. Have you started your Halloween plans? 🎃,1.0,N,N,,,08:01:51,Friday,2021-09-24,N,1080x1080,82,0,8200.0
"LAST CHANCE! Our Graduation Giveaway ends this weekend! 🎓✨ Nominate a grad in your life for a chance to win them a $100 Visa gift card before Sunday, May 31st. We'll pick one lucky duck in each of our Quick Quack communities on June 1st! dontdrivedirty.com/2020grads",0.38749999999999996,N,N,,,13:28:22,Friday,2020-05-29,N,1080x1079,38,33,7100.0
"Quick Quack is getting into the Halloween spirit! 👻

We're closing today at 6 p.m. to make way for the spooky festivities. Happy Halloween, and may your night be filled with thrilling adventures.

#QuickQuack #QuickQuackCarWash #CarWash #CarWashNearMe #Halloween #HappyHalloween",0.4666666666666667,Y,N,"QuickQuack, QuickQuackCarWash, CarWash, CarWashNearMe, Halloween, HappyHalloween",,06:00:35,Thursday,2024-10-31,N,612x612,89,0,8900.0
"Hi - welcome to Quick Quack Car Wash!

Would you like an Unlimited membership? 👉👈

📸: Madie from the Grand Opening Team",0.5722222222222223,N,N,,,08:00:50,Thursday,2023-07-27,N,1080x1080,133,11,14400.0
Mini red duck? Or something more ominous for #Halloween?,0.25,Y,N,Halloween?,,12:45:41,Wednesday,2015-10-28,N,1080x1080,1,0,100.0
"Happy Flag Day! 
#DontDriveDirty #FlagDay",1.0,Y,N,"DontDriveDirty, FlagDay",,05:38:52,Thursday,2018-06-14,N,1080x870,24,0,2400.0
"Our new location in Spring, TX is officially open! For our preview fundraiser, we honored the @kaileemillsfoundation, and raised $3,500 to help raise awareness about the importance of seat belt use. Seat belts save lives, buckle up and drive safely. #QQCares #BuckleUp4Kailee",0.21212121212121213,Y,Y,"QQCares, BuckleUp4Kailee","kaileemillsfoundation,",08:00:13,Sunday,2020-02-16,N,720x479,47,2,4900.0
"Happy Friday! It's clean your floors day. Happy cleaning! 
#clean #dontdrivedirty #quickquack",0.6833333333333333,Y,N,"clean, dontdrivedirty, quickquack",,09:33:55,Friday,2018-08-03,N,612x633,17,1,1800.0
One of our fans did Quackals portrait! #bestfansever #dontdrivedirty,0.0,Y,N,"bestfansever, dontdrivedirty",,16:49:42,Tuesday,2014-11-18,N,640x640,5,0,500.0
"Our members are pretty awesome. Laura raises therapy and service dogs. Neva is a cute golden retriever who is currently training to be a service dog. During the pandemic, they had limited social interactions and few places to go. Laura signed up for a car wash membership, to not only keep her car clean, but also help train her pups. We love hearing stories of what our car washes do beyond keeping your cars clean. #dontdrivedirty #QQcares #dogsofQQ",0.2537698412698413,Y,N,"dontdrivedirty, QQcares, dogsofQQ",,08:30:24,Friday,2021-07-16,N,612x612,87,8,9500.0
One of our employees sweeping out the bed of a customers truck. We love our employees and how they go above & beyond to make our customers happy. Thank you!,0.5,N,N,,,10:14:27,Thursday,2016-06-30,N,1080x1080,8,0,800.0
The remedy for gloomy days is  a clean and shiny car. #dontdrivedirty 😊,0.3666666666666667,Y,N,dontdrivedirty,,07:01:17,Wednesday,2022-01-05,N,1440x1440,62,3,6500.0
Happy full moon evening! Make sure you look up tonight.,0.5791666666666667,N,N,,,21:06:14,Tuesday,2016-07-19,N,1080x1080,10,0,1000.0
What are you eating at you Superbowl party? Quackals loves pizza!,0.0,N,N,,,19:42:57,Sunday,2017-02-05,N,883x883,14,0,1400.0
Once upon a time...Quackals played soccer against some other awesome Mascots. It will be happening again soon! Stay tuned... #tbt #DontDriveDirty,0.4375,Y,N,"tbt, DontDriveDirty",,17:17:43,Thursday,2016-06-30,N,1080x1080,5,0,500.0
"Some days it's just hard to make choices. They all smell so good!

#DontDriveDirty",0.29166666666666663,Y,N,DontDriveDirty,,10:11:29,Saturday,2016-08-27,N,665x665,8,0,800.0
It's contest time!  Visit our Facebook Main Page for how to enter: http://ow.ly/XXPL8,0.16666666666666666,N,N,,,14:23:28,Thursday,2016-02-04,N,503x503,7,1,800.0
"The Aston Martin's name came from one of the founders Lionel Martin, who used to race at Aston Hill near Aston Clinton, England.

#AutoFactFriday #DontDriveDirty 
Source: http://ow.ly/1RF630eP06p",0.1,Y,N,"AutoFactFriday, DontDriveDirty",,14:38:44,Friday,2017-09-01,N,352x352,19,0,1900.0
"This duck is PUMPED for this scent. 🍂🧡
Save this video for later. I know you’re going to like this one. 

#DontDriveDirty #quickquackcarwash #ScentedCarWash #ComingSoon",0.0,Y,N,"DontDriveDirty, quickquackcarwash, ScentedCarWash, ComingSoon",,09:26:28,Wednesday,2024-08-28,Y,1080x1920,30,5,3500.0
"This is Cora from Salt Lake City, UT. Her boyfriend Nicholas nominated her for our #RandomQuacksofKindness. Cora is a surgery tech at St. Mark's hospital in Salt Lake City. Cora has been under a lot of stress as she is potentially exposed to the virus everyday at work. We dropped off a little package for her in hopes to relieve some of her stress. We got to meet Cora (from 6 feet away), whose heart was ""completely overflowing with joy"".
Thank you for all you do in the frontline of this pandemic. And thank you to @eastwestconnection, Absolutely Flowers and @rubysnap for helping us make Cora's day better. We’re all in this together, and together we’ll get through this. #QQCares",0.17321428571428574,Y,Y,"RandomQuacksofKindness., QQCares","eastwestconnection,, rubysnap",11:55:05,Thursday,2020-04-23,N,320x313,36,0,3600.0
Great job Team! Keep up the great work!,1.0,N,N,,,15:40:51,Monday,2016-10-03,N,715x643,2,0,200.0
It's #luckyduckwednesday! But a Protect 5 wash card and get a Basic 5 wash card FREE or a Quackals doll FREE!!!,0.39375,Y,N,luckyduckwednesday!,,10:17:55,Wednesday,2015-11-18,N,959x959,2,3,500.0
"We've already raised thousands of dollars for the National Breast Cancer Foundation (@nbcf)! 🎀 We are collecting donations all month long, stop by any Quick Quack location this month to help support the cause. #QQCares #breastcancecerawarenessmonth #breastcancerwareness",0.14166666666666666,Y,N,"QQCares, breastcancecerawarenessmonth, breastcancerwareness",,07:30:43,Wednesday,2020-10-14,N,1080x1080,82,3,8500.0
"We have quacktastic deals kicking off on 11/25 thru 11/29!
 
Save on an Unlimited membership with our Cyber Savings event.  Enjoy our biggest savings of the year with deals up to  70% off, available exclusively online — valid for new memberships only! 

Just a friendly reminder that all Quick Quack locations will be closed for Thanksgiving 11/24. #dontdrivedirty",0.22067099567099566,Y,N,dontdrivedirty,,17:30:18,Wednesday,2022-11-23,N,1080x1350,162,3,16500.0
They definitely have an Unlimited Membership to Quick Quack. 🙌,0.16666666666666666,N,N,,,14:11:22,Friday,2024-05-31,N,1080x1350,71,3,7400.0
Shine bright at the block party this summer with a car that shines! Enjoy 40% off any wash  now through July 5 and arrive to your weekend plans in style.,0.6375000000000001,N,N,,,07:15:10,Thursday,2022-06-30,N,640x411,47,9,5600.0
"Today is #WorldCancerDay we want to take a moment to recognize all those who have been touched by cancer. Take some time to donate to support vital research, improve treatments, and buy life-saving equipment. From all of us at Quick Quack, we support you.",0.21666666666666667,Y,N,WorldCancerDay,,07:23:04,Tuesday,2020-02-04,N,1080x1079,39,0,3900.0
"Last month we asked you to write about Quackals life for us. Now we need your help voting!

http://ow.ly/OZb63063NeC",0.0,N,N,,,09:46:25,Monday,2016-11-14,N,960x960,2,0,200.0
Today is the day to save big on unlimited car washes. Get up to 70% off Unlimited Memberships. Visit the link in bio now to save. #cybersavings #blackfriday,0.0,Y,N,"cybersavings, blackfriday",,07:01:30,Friday,2021-11-26,N,1080x1080,24,4,2800.0
"Do you live in an area where the roads are salted often? If you do, you might want to invest in a car wash membership and wash it regularly to protect it from the salt. 

How Quick Quack can protect your car from the road salt:

✨ Paint protection: Our three-step paint sealant process adds a layer of carnauba wax and silicone to your paint that creates a barrier of protection against salt. It will also leave your car looking great.

✨ Advanced water filtration: Most car washes reuse water to lower their utility bills, which means they sometimes wash cars in water that contains traces of road salt. Quick Quack’s water reclamation system has a filtration process that removes soap, soil, oil and road salt.

Find out more ways that a visit to Quick Quack Car Wash can protect your car from road salt in the link in our stories.",0.37070707070707076,N,N,,,15:33:43,Wednesday,2023-12-27,Y,1080x1920,117,3,12000.0
"#AutoFactFriday

On average, it takes 25 hours to manufacture a vehicle. 10 of those hours are spent on painting it.

#DontDriveDirty",-0.125,Y,N,"AutoFactFriday, DontDriveDirty",,17:07:00,Friday,2016-08-26,N,1080x1080,4,0,400.0
Have you checked out our Kids Activity Book? There's plenty of ways to get creative at home. Download it at the link in bio! #QQAtHome #dontdrivedirty #quickquack #quarantinelife,0.625,Y,N,"QQAtHome, dontdrivedirty, quickquack, quarantinelife",,07:30:14,Friday,2020-07-31,Y,720x480,33,1,3400.0
"In recognition of Autism Awareness Month, we're featuring one of our very own amazing Team Members, Quinn Wright. We love and appreciate you, Quinn! Thank you for helping us spread awareness, promote acceptance, and ignite change.
To support Autism Speaks and participate in the Autism Speaks Walk, please visit www.autismspeakswalk.org #autismawareness #QQCares",0.6683333333333333,Y,N,"autismawareness, QQCares",,10:36:55,Tuesday,2020-04-07,Y,1280x720,65,9,7400.0
"Happy birthday Ty! Ty recently celebrated the big 1-0 with us at our Highland, UT location. He is a young boy with autism, and a huge Quick Quack fan: he takes his Quackals doll and dashwipes everywhere he goes, and visits the car wash with his family as much as they can. For Ty's birthday, we shut down our wash for a few minutes so the family could safely walk through the showroom and see the lights from up close. Thank you for letting us join in on the birthday fun!",0.2638888888888889,N,N,,,08:01:03,Friday,2021-06-04,N,612x612,123,6,12900.0
"Parents, want 1 year of FREE CAR WASHES & $1,000 Cash Scholorship for your child? Have your child enter into our writing contest for a chance to win. http://ow.ly/a1n0304K4MN",0.6000000000000001,N,N,,,11:13:15,Sunday,2016-10-02,N,600x600,0,0,0.0
"Our Creative Writing Contest is open to all young aspiring writers (grades 4 - 12th)! Write the story of Quackals, the Quick Quack mascot, for a chance to win a $1,000 scholarship! Visit the link in bio for more details.
Submit your entries by 9/16 at 5pm PST. Winners will be announced on 9/30.
#dontdrivedirty #quickquack",0.40972222222222215,Y,N,"dontdrivedirty, quickquack",,08:00:39,Wednesday,2020-09-02,N,1080x1079,53,2,5500.0
"#LuckyDuckWednesday

Only on Wednesdays in August! Buy one get one free on all our accessories & merchandise. Come see us and stock up!

http://ow.ly/GTDX303xUY2",0.25,Y,N,LuckyDuckWednesday,,09:55:12,Wednesday,2016-08-24,N,960x960,5,0,500.0
"Show your love with a clean car. Now through Feb. 22, get 50% off the first month any Unlimited Membership or any single wash. Happy Valentine's Day!",0.409047619047619,N,N,,,07:01:16,Monday,2022-02-14,N,1080x1080,21,0,2100.0
Quackals trip to the Big Apple! #tbt,0.0,Y,N,tbt,,08:33:35,Thursday,2017-02-09,N,1080x1080,12,2,1400.0
"Leap into fun activities with an extra day. To help you get the best out of your bonus day, we devised a couple of fun activities for you.

🏵️ Learn something new — learn a new language or perhaps a new recipe
🏵️ Get a leap start on spring cleaning - get a wash at Quick Quack

There are endless ways to make the most out of this special day. Want more ideas? Check out our latest blog post for more ideas on how to celebrate Leap Year. Link in the stories.",0.3267547928262214,N,N,,,19:36:09,Wednesday,2024-02-28,N,1080x1350,100,0,10000.0
Free vacuums with every wash! #dontdrivedirty #insideandout,0.5,Y,N,"dontdrivedirty, insideandout",,15:29:25,Tuesday,2015-12-01,N,800x800,2,0,200.0
"""Life's most persistent and urgent question is, 'What are you doing for others?'"" - Martin Luther King Jr.",0.5,N,N,,,08:00:16,Monday,2020-01-20,N,1080x1079,54,1,5500.0
Thanks for the great review David! We love to hear about it when we have outstanding employees. And good job Ryan! Keep up the good work!,0.6583333333333333,N,N,,,10:54:26,Wednesday,2016-06-15,N,537x537,6,0,600.0
"On this day in 1933, the 1st drive-in movie theater opened! 
#DontDriveDirty 
http://qoo.ly/pwczg",0.0,Y,N,DontDriveDirty,,05:49:27,Wednesday,2018-06-06,N,612x580,32,0,3200.0
Happy World Egg Day! Today is a day to celebrate our feathered friends!,1.0,N,N,,,10:57:47,Friday,2016-10-14,N,810x1013,9,0,900.0
"We hope your Easter is filled with happiness, whether you're spending it solo from your couch, with the people you love in person, or on FaceTime this year. If you have any downtime don't forget to get creative with our Easter coloring page! https://bit.ly/3ecW1eE (or visit the link in bio) 🐣🌸",0.55625,N,N,,,07:00:14,Sunday,2020-04-12,N,1080x1080,56,1,5700.0
"This summer, you can feel good knowing that your car is clean and that you're helping us conserve water. Watch our video to learn more about Quick Quack's reclamation and recycling process. ♻️ #dontdrivedirty #ecofriendly",0.475,Y,N,"dontdrivedirty, ecofriendly",,08:07:54,Friday,2021-07-23,Y,720x1280,51,1,5200.0
"If you could be anywhere right now, where would you be?",0.2857142857142857,N,N,,,08:15:02,Monday,2017-06-19,N,1080x1080,22,2,2400.0
"Here's something to smile about! From now until October 10 get any unlimited membership and after the second month, you’ll get the third month free. See our plans at https://myqq.dontdrivedirty.com/plans/",0.19375,N,N,,,08:15:19,Wednesday,2022-10-05,N,1440x1192,130,0,13000.0
"It's time to rev up your engine and get ready to shine.
 
Introducing Ceramic Duck, the newest addition to Quick Quack that delivers a deeper shine and smoother finish than ever before.

But it's not just about looks, oh no – Ceramic Duck delivers unparalleled protection from rain, snow, dirt, salt, bugs, pollen, and even those pesky bird droppings.

Make your car stand out, protect your vehicle from elements, and maintain a long-lasting shine –  look no further than Ceramic Duck. 

Give it a try and experience the difference for yourself.",0.17777777777777778,N,N,,,13:03:21,Wednesday,2023-05-10,N,612x612,90,4,9400.0
Our customer's generosity astounds us!! We had to call #ToysForTots for an early pick up because we have no more room in the office at our Folsom location!! Keep the toys coming - so many kids will benefit! #thankyou #amazingcustomers #tistheseason #quickquack,0.11145833333333333,Y,N,"ToysForTots, thankyou, amazingcustomers, tistheseason, quickquack",,11:58:01,Thursday,2015-12-10,N,1080x648,3,0,300.0
"It's tip Tuesday! Here's one for those of you who are about to go back to school... If you chew gum when you study, then chew the same flavor when you take the test it can help you remember. 
#TipTuesday #DontDriveDirty",0.0,Y,N,"TipTuesday, DontDriveDirty",,10:48:36,Tuesday,2017-08-01,N,1000x1127,31,1,3200.0
In addition to #VeteransDay (ALL Veterans are invited to #quickquack for a FREE WASH) it's also #luckyduckwednesday!! Buy a Protect 5 wash card and get a Basic 5 wash cars FREE OR a Quackals Doll FREE!!! Just mention this deal to your cashier!!!,0.50625,Y,N,"VeteransDay, quickquack, luckyduckwednesday!!",,10:14:03,Wednesday,2015-11-11,N,959x959,1,0,100.0
"Happy Compliment Your Mirror Day! We're all about love here at Quick Quack and it all starts with loving yourself!...""How you doing?""",0.6458333333333333,N,N,,,16:31:34,Sunday,2016-07-03,N,479x479,5,0,500.0
"HOW TO GET A FREE WASH (or ""BEST"" UPGRADE) THIS HOLIDAY SEASON

Buy any prepaid Car Wash Gift Card including: 5 wash cards or 1 Month Unlimited Wash Cards from $19.99 OR Donate at least 2 new/gently used winter COATS or 2 new unwrapped TOYS, or 5 non-perishable FOOD ITEMS (can/box)
Expired 1/15/16",0.3090909090909091,N,N,,,19:04:40,Friday,2015-12-11,N,504x504,2,0,200.0
It's a beautiful day for a wash!!,1.0,N,N,,,10:45:10,Wednesday,2016-03-23,N,1080x1080,1,0,100.0
"Today is the last #LuckyDuckWednesday of July.  Stop by any Quick Quack location and purchase a Basic 5 Wash Card at any location for only $17.76 (Reg $30). Unlimited members can buy one Quick Quack Air Freshener and get the second one FREE.

#LuckyDuckWednesday",0.15238095238095237,Y,N,"LuckyDuckWednesday, LuckyDuckWednesday",,07:38:54,Wednesday,2016-07-27,N,960x960,4,0,400.0
#TBT to that one time Quackals was so excited about our 1/2 off coupons that he was swimming in them.,0.375,Y,N,TBT,,11:55:59,Thursday,2016-10-06,N,1000x878,10,0,1000.0
Good morning - how's your morning going so far?,0.39999999999999997,N,N,,,11:09:14,Monday,2024-03-25,N,1080x1080,92,0,9200.0
Had a great time at The Duck Dash last night!,0.4,N,N,,,15:32:45,Sunday,2013-06-16,N,612x612,6,1,700.0
Cory keeping it clean! #dontdrivedirty #quickquack #bestemployees,0.45833333333333337,Y,N,"dontdrivedirty, quickquack, bestemployees",,17:44:07,Sunday,2015-10-11,N,960x960,2,0,200.0
Want to be a part of our amazing team? Come join a fast growing company focused on changing lives for the better through leadership and service. Check out dontdrivedirty.com/jobs for a list of all of our available careers near you! .,0.36500000000000005,N,N,,,07:40:34,Wednesday,2022-08-03,N,612x612,107,2,10900.0
"Most people spend 1/3 of their day, and 1/2 of  the time they are awake, at work. Make sure you surround yourself with GREAT people! They influence you more than you realize!

#TipTuesday",0.65625,Y,N,TipTuesday,,11:37:40,Tuesday,2017-01-24,N,1080x1080,21,1,2200.0
Love seeing the classics roll in!! #dontdrivedirty #classiccars,0.78125,Y,N,"dontdrivedirty, classiccars",,10:51:02,Friday,2013-08-23,N,612x612,8,0,800.0
"Sometimes it seems like they get together and plot to torture us. Thank goodness for Quick Quack! Happy Thrusday!

#DontDriveDirty",0.7083333333333333,Y,N,DontDriveDirty,,19:12:01,Thursday,2017-05-25,N,496x614,31,1,3200.0
"We are celebrating Halloween with ""Spirit Week."" Today is Sports Team Day. Come see our Cashiers dressed up.

#DontDriveDirty",0.0,Y,N,DontDriveDirty,,13:32:36,Tuesday,2016-10-25,N,1080x1080,7,0,700.0
"Dirty car? We have FREE vacuums with every wash. 
#DontDriveDirty",-0.09999999999999998,Y,N,DontDriveDirty,,10:03:01,Wednesday,2017-08-30,N,720x720,38,2,4000.0
"Here at Quick Quack we value CONSISTENCY! We want you to know what to expect every time you come to one of our car washes...Friendly staff, a fast car wash and clean car.

https://www.dontdrivedirty.com/why-quick-quack/

#DontDriveDirty #Values #CleanCar #Consistency",0.3277777777777778,Y,N,"DontDriveDirty, Values, CleanCar, Consistency",,10:00:16,Wednesday,2018-01-31,N,469x469,23,4,2700.0
"#AutoFactFriday 
What is the highest recorded mileage on a vehicle? What kind of vehicle it was...",0.6,Y,N,AutoFactFriday,,15:01:29,Friday,2016-07-29,N,396x396,2,1,300.0
"~~~CYBER MONDAY SALE~~~ 50% OFF 30 Day Unlimited Protect Pass

ONLINE ONLY

Monday Nov. 27th

Promo code: CYBER

http://ow.ly/eczv30gv7Md",0.0,N,N,,,15:23:02,Wednesday,2017-11-22,N,550x687,12,0,1200.0
"It's THAT time of the year! 🥧

Stay until the end for the best part.🦆

#PumpkinSpice #Pumpkin #QuickQuack #Carwashnearme #CarWash",1.0,Y,N,"PumpkinSpice, Pumpkin, QuickQuack, Carwashnearme, CarWash",,08:10:31,Monday,2024-10-21,Y,1080x1920,3,4,700.0
"You Lucky Duck! ☘️Get Your First Month
""Lucky Duck"" Best Wash Unlimited Membership for $17* from March 16th - 18th! 🌈Share the luck and pass this offer to your friends and family! *Offer not valid in Arizona",0.5,N,N,,,07:00:14,Monday,2020-03-16,N,1080x1079,40,0,4000.0
"Today is ""Take your plant for a walk Day!"" We figured out a good way to do it.",0.7,N,N,,,13:25:24,Wednesday,2016-07-27,N,1080x720,3,1,400.0
At Quick Quack we value being courteous and want to give a very courteous person 1 YEAR OF FREE CAR WASHES! Nominate someone now http://ow.ly/U2On303QjZs,0.5533333333333333,N,N,,,11:41:09,Friday,2016-09-02,N,960x960,4,0,400.0
"Thanks for the review Johnny! We love to hear from you! Tell us about your great experiences.

#BehindTheQuack",0.5583333333333333,Y,N,BehindTheQuack,,12:07:47,Saturday,2016-10-15,N,460x418,4,0,400.0
It's 80s Day at Quick Quack! Come see our fun costumes today. #SpiritWeek,0.3583333333333333,Y,N,SpiritWeek,,12:06:27,Thursday,2016-10-27,N,768x720,8,0,800.0
"At Quick Quack, we make it a habit to help others. And we loved helping Habitat for Humanity. On May 6, 2022, Team Members and Leaders from our Service Center volunteered in partnership with Rock The Block to help improve homes in the Oak Park Community. The Quick Quack Crew demolished old fences, weeded bamboo, shoveled garbage, poured concrete and established the foundation for new fencing. But most importantly, they helped strengthen a community! Our Mission is to Change Lives for the Better, on that day the lives of those who volunteered on the behalf of Quick Quack Car Wash had a life changing experience. Visit https://www.dontdrivedirty.com/jobs/ and see how you can be a part of this amazing team.",0.340530303030303,N,N,,,11:00:36,Friday,2022-05-27,N,1080x566,43,3,4600.0
Monthly Unlimited Car Wash Specials #luckyduck #dontdrivedirty,0.0,Y,N,"luckyduck, dontdrivedirty",,10:57:29,Wednesday,2012-10-10,N,612x612,3,0,300.0
Everyone loves Quackals #QuickQuack #dontdrivedirty,0.0,Y,N,"QuickQuack, dontdrivedirty",,14:22:26,Tuesday,2016-04-05,N,1080x1080,8,0,800.0
"Love your Quick Quack Car Wash experience? Share the shine with us. ✨

Tag us or use #dontdrivedirty in your wash day adventures for a chance to be featured on our page - whether it's a shiny car selfie or a video of our bubbly foam, we want to see it all.",0.41666666666666663,Y,N,dontdrivedirty,,17:58:46,Friday,2024-02-23,N,1080x1080,3,0,300.0
Sometimes you just feel like dancing! #TipTuesday Dance when you feel like it.,0.0,Y,N,TipTuesday,,11:02:09,Tuesday,2017-03-28,N,1000x1000,18,0,1800.0
GRADUATION GIVEAWAY 🎓✨We’re giving one lucky grad in each of our Quick Quack communities a $100 Visa gift card! Visit the link in bio to nominate a grad in your life for a chance to win! The winners will be randomly selected and contacted on 6/1/2020,0.3125,N,N,,,08:45:05,Tuesday,2020-05-26,N,1080x1079,41,4,4500.0
It's a good day to get your car washed! Start the week off right...,0.5803571428571428,N,N,,,10:28:44,Monday,2017-01-30,N,934x1167,20,0,2000.0
